termo2;seconds_diff;;;;
26,5;356,413;;;;
26,75;354,928;;;;
26,5;353,402;;;;
26,5;351,915;;;;
25,75;350,416;;;;
26,75;348,897;;;;
26,25;347,347;;;;
26,5;345,829;;;;
26,75;344,331;;;;
26,75;342,88;;;;
26,75;341,391;;;;
26,75;339,881;;;;
26,5;338,368;;;;
26,5;336,839;;;;
26,25;335,282;;;;
26,75;333,85;;;;
26,25;332,36;;;;
26,25;330,861;;;;
26,5;329,332;;;;
26,5;327,854;;;;
26,25;326,347;;;;
26,25;324,846;;;;
26,5;323,34;;;;
26,5;321,792;;;;
26,5;320,315;;;;
26,25;318,824;;;;
26,5;317,312;;;;
26;315,782;;;;
26,25;314,303;;;;
26,25;312,797;;;;
26,25;311,312;;;;
26;309,742;;;;
25,75;308,249;;;;
26,25;306,8;;;;
26;305,255;;;;
26,5;303,792;;;;
25,75;302,264;;;;
26,25;300,755;;;;
26;299,277;;;;
26;297,708;;;;
26;296,243;;;;
26;294,763;;;;
26;293,219;;;;
26,5;291,71;;;;
25,75;290,23;;;;
26,25;288,728;;;;
26,25;287,233;;;;
25,5;285,69;;;;
26,25;284,2;;;;
25,75;282,641;;;;
26;281,199;;;;
26,25;279,632;;;;
25,75;278,204;;;;
26;276,711;;;;
25,75;275,215;;;;
25;273,681;;;;
25,5;272,165;;;;
26;270,679;;;;
26;269,129;;;;
25,25;267,694;;;;
26;266,185;;;;
25,25;264,235;;;;
25,5;262,399;;;;
25,75;261,667;;;;
26;260,148;;;;
25,75;258,685;;;;
25,75;257,166;;;;
26;255,676;;;;
25,75;254,181;;;;
26;252,631;;;;
26;251,103;;;;
25,5;249,514;;;;
25,25;248,146;;;;
26;246,575;;;;
25,75;244,806;;;;
26;243,326;;;;
25,75;242,141;;;;
25,75;239,821;;;;
25,25;239,123;;;;
25,75;237,587;;;;
25,75;236,134;;;;
26;234,616;;;;
25,25;233,09;;;;
25,75;231,601;;;;
25,5;229,996;;;;
25,5;228,552;;;;
25,5;227,089;;;;
26;225,499;;;;
25,5;224,089;;;;
25,75;222,59;;;;
25,75;221,058;;;;
25,5;219,54;;;;
25,75;218,011;;;;
25,75;216,532;;;;
25,25;215,08;;;;
25,25;213,571;;;;
25,75;212,067;;;;
26;210,145;;;;
25,75;208,898;;;;
25,75;207,518;;;;
25,75;205,704;;;;
25,5;204,439;;;;
25,5;203,056;;;;
25,75;201,48;;;;
25,75;200,048;;;;
25,25;198,304;;;;
25,5;196,744;;;;
25,75;195,385;;;;
25,75;194;;;;
25,75;192,531;;;;
24,75;191,025;;;;
25,5;189,491;;;;
25,5;188,001;;;;
25,5;186,466;;;;
25,5;184,975;;;;
25,25;183,469;;;;
25,75;182,001;;;;
25,75;180,463;;;;
25,5;178,99;;;;
25;177,479;;;;
25,25;175,933;;;;
25,75;174,469;;;;
25,5;172,98;;;;
25,5;171,47;;;;
25,5;169,82;;;;
25,5;168,412;;;;
25,5;166,929;;;;
25;165,34;;;;
25;163,519;;;;
25;162,065;;;;
25;160,472;;;;
24,75;158,93;;;;
25,5;157,905;;;;
25,5;153,86;;;;
25;152,968;;;;
25,25;151,804;;;;
25;149,683;;;;
25;148,914;;;;
25,5;147,405;;;;
25,25;145,849;;;;
25,5;144,403;;;;
25,5;142,862;;;;
25,25;141,377;;;;
25,5;139,904;;;;
25;137,87;;;;
25,5;136,876;;;;
25,5;135,375;;;;
25,5;133,846;;;;
25;132,37;;;;
25;130,86;;;;
25;129,364;;;;
25,5;127,826;;;;
25,25;126,366;;;;
24,5;124,729;;;;
25,5;123,32;;;;
25,25;121,84;;;;
25,25;120,36;;;;
25;118,845;;;;
25,25;117,319;;;;
25;115,829;;;;
25,25;114,33;;;;
25,5;112,825;;;;
25,25;111,326;;;;
24,5;109,787;;;;
25,25;108,255;;;;
25;106,354;;;;
25,25;105,029;;;;
25,25;103,793;;;;
25,25;102,306;;;;
25;100,764;;;;
25,25;99,254;;;;
25,25;97,784;;;;
25,25;96,289;;;;
25;94,772;;;;
25,25;93,231;;;;
25,25;91,775;;;;
24,75;90,207;;;;
25,25;88,696;;;;
25,5;87,27;;;;
25;85,759;;;;
25;84,195;;;;
24,75;82,759;;;;
24,5;81,235;;;;
25;79,566;;;;
24,75;78,229;;;;
25,25;76,735;;;;
24,75;75,233;;;;
25,25;73,705;;;;
25;72,219;;;;
25,25;70,685;;;;
25;69,2;;;;
25;67,604;;;;
25;66,218;;;;
25,25;64,705;;;;
24,75;63,204;;;;
25,25;61,649;;;;
25,5;60,155;;;;
25;58,695;;;;
24,75;57,183;;;;
24,75;55,666;;;;
25;54,143;;;;
24,75;52,659;;;;
24,5;51,145;;;;
24,5;49,661;;;;
24,5;48,16;;;;
24,75;46,66;;;;
25,25;45,165;;;;
25;43,609;;;;
25,5;42,125;;;;
24,5;40,65;;;;
25,25;39,14;;;;
24,5;37,638;;;;
25;36,143;;;;
24,75;34,629;;;;
25;33,108;;;;
24,75;31,62;;;;
25;30,106;;;;
25,25;28,605;;;;
25,25;27,093;;;;
24,75;25,593;;;;
24,75;24,105;;;;
24,75;22,596;;;;
24,5;21,012;;;;
25;19,587;;;;
24,75;18,039;;;;
25;16,473;;;;
25;15,081;;;;
24,5;13,586;;;;
25;12,075;;;;
25;10,563;;;;
24,75;9,068;;;;
25,25;7,426;;;;
25;6,052;;;;
24;4,547;;;;
25;3,065;;;;
25;1,536;;;;
24,5;0;;;;
